epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,598.561,1.32031,1.34955,1.35017,0.68409,0.65493,0.70644,0.43578,1.27727,1.13619,1.26267,0.00333131,0.00333131,0.00333131
2,1153.47,1.21545,1.02412,1.25064,0.69495,0.66578,0.7173,0.45205,1.27655,1.14147,1.28449,0.00640072,0.00640072,0.00640072
3,1706.7,1.28218,1.1208,1.295,0.70499,0.66047,0.7024,0.42945,1.32438,1.29748,1.3432,0.00920614,0.00920614,0.00920614
4,2254.76,1.29475,1.1423,1.31,0.75856,0.67944,0.75148,0.48729,1.21494,1.08641,1.2689,0.008812,0.008812,0.008812
5,2800.35,1.22933,1.05044,1.27385,0.7557,0.69509,0.76864,0.50593,1.16959,1.01131,1.23115,0.008416,0.008416,0.008416
6,3347.12,1.18293,0.98788,1.24499,0.76753,0.72464,0.7844,0.51711,1.13734,0.98851,1.21343,0.00802,0.00802,0.00802
7,3894.53,1.14804,0.94363,1.21988,0.78769,0.74204,0.81087,0.54551,1.09354,0.90009,1.17933,0.007624,0.007624,0.007624
8,4440.82,1.1173,0.90116,1.20252,0.788,0.75154,0.81711,0.55706,1.06704,0.88372,1.16977,0.007228,0.007228,0.007228
9,4992.11,1.09853,0.87068,1.19379,0.7934,0.75828,0.82289,0.56392,1.0633,0.85474,1.16438,0.006832,0.006832,0.006832
10,5544.41,1.07184,0.84356,1.18091,0.79028,0.77494,0.82808,0.57292,1.04978,0.85679,1.15975,0.006436,0.006436,0.006436
11,6096.63,1.05345,0.82092,1.16934,0.79659,0.77668,0.83362,0.57925,1.03479,0.83085,1.14321,0.00604,0.00604,0.00604
12,6652.38,1.03501,0.79766,1.15655,0.80784,0.78622,0.84176,0.58907,1.02194,0.8039,1.13715,0.005644,0.005644,0.005644
13,7203.17,1.01624,0.77689,1.1467,0.79286,0.78886,0.84242,0.59471,1.00996,0.79365,1.12688,0.005248,0.005248,0.005248
14,7753.89,1.00403,0.75857,1.13782,0.81054,0.78718,0.84637,0.59854,1.00962,0.78192,1.12203,0.004852,0.004852,0.004852
15,8305.86,0.98285,0.73104,1.12564,0.8088,0.78985,0.84849,0.60264,1.00047,0.76141,1.12284,0.004456,0.004456,0.004456
16,8846.54,0.97715,0.66529,1.12479,0.80522,0.80368,0.85394,0.60618,1.00167,0.76958,1.11834,0.00406,0.00406,0.00406
17,9383.98,0.95131,0.63743,1.10977,0.80456,0.79925,0.85131,0.60747,0.99099,0.75923,1.1177,0.003664,0.003664,0.003664
18,9919.37,0.93033,0.60935,1.09416,0.81261,0.79332,0.84952,0.60866,0.9849,0.76574,1.11203,0.003268,0.003268,0.003268
19,10459.4,0.91212,0.58661,1.08245,0.80272,0.79826,0.84932,0.61028,0.98689,0.77502,1.111,0.002872,0.002872,0.002872
20,10999.7,0.89496,0.56467,1.07221,0.81328,0.79989,0.84957,0.61062,0.98672,0.77654,1.11642,0.002476,0.002476,0.002476
21,11546.9,0.87576,0.54157,1.05685,0.81512,0.79134,0.84688,0.60809,0.99128,0.78518,1.12002,0.00208,0.00208,0.00208
22,12088.1,0.85702,0.52071,1.04549,0.81124,0.79226,0.84313,0.60766,0.98949,0.78288,1.11724,0.001684,0.001684,0.001684
23,12628,0.8374,0.50339,1.03776,0.8074,0.79783,0.84151,0.60733,0.98718,0.78624,1.11711,0.001288,0.001288,0.001288
24,13170.1,0.8229,0.48392,1.02754,0.81199,0.79166,0.84018,0.60697,0.99067,0.79169,1.11939,0.000892,0.000892,0.000892
25,13709.7,0.80814,0.47067,1.01996,0.81358,0.78741,0.83871,0.60554,0.99265,0.79554,1.12209,0.000496,0.000496,0.000496
