epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.533,1.53694,2.22894,1.57305,0.58084,0.38386,0.38878,0.16994,2.02412,1.65694,2.01361,0.000184531,0.000184531,0.000184531
2,188.084,1.49165,1.52625,1.50615,0.61818,0.36328,0.36819,0.1623,2.08956,1.75061,2.01464,0.000363762,0.000363762,0.000363762
3,267.14,1.49386,1.48183,1.49903,0.73804,0.3666,0.40613,0.16814,2.17012,1.68275,2.13821,0.000536876,0.000536876,0.000536876
4,345.19,1.47473,1.44169,1.48366,0.77217,0.3709,0.41831,0.1901,2.10529,1.6182,2.03163,0.000528478,0.000528478,0.000528478
5,425.461,1.4518,1.36644,1.46719,0.71554,0.36052,0.41028,0.18559,2.02659,1.61814,1.98564,0.000519304,0.000519304,0.000519304
6,503.713,1.41818,1.312,1.43697,0.68085,0.41636,0.44353,0.20601,2.00166,1.50645,1.93917,0.00051013,0.00051013,0.00051013
7,583.914,1.40301,1.28836,1.43372,0.61845,0.42034,0.45579,0.21357,1.98862,1.51074,1.94336,0.000500956,0.000500956,0.000500956
8,662.633,1.39176,1.24063,1.42217,0.67833,0.38816,0.44347,0.2047,2.0344,1.4896,1.93341,0.000491782,0.000491782,0.000491782
9,742.523,1.34978,1.20147,1.40357,0.66476,0.41001,0.4626,0.21152,1.97897,1.44432,1.90711,0.000482608,0.000482608,0.000482608
10,821.431,1.33613,1.15487,1.38245,0.59203,0.43916,0.46732,0.21682,1.92257,1.40192,1.87944,0.000473434,0.000473434,0.000473434
11,902.11,1.32664,1.13302,1.37438,0.75818,0.40717,0.47985,0.22746,1.93132,1.38897,1.87112,0.00046426,0.00046426,0.00046426
12,981.307,1.31378,1.11653,1.37098,0.7778,0.40193,0.47032,0.2171,1.92667,1.45479,1.88011,0.000455086,0.000455086,0.000455086
13,1061.17,1.28631,1.07378,1.35253,0.77326,0.44256,0.51971,0.2332,1.93015,1.3484,1.8767,0.000445912,0.000445912,0.000445912
14,1140.02,1.28765,1.05826,1.34599,0.77966,0.44946,0.51434,0.24224,1.87141,1.31099,1.83396,0.000436738,0.000436738,0.000436738
15,1219.46,1.27377,1.04131,1.34411,0.7539,0.42359,0.49258,0.23874,1.90162,1.36979,1.85352,0.000427564,0.000427564,0.000427564
16,1297.92,1.25494,1.0196,1.32415,0.59556,0.48545,0.53217,0.25382,1.87161,1.22467,1.80651,0.00041839,0.00041839,0.00041839
17,1377.63,1.25685,1.00705,1.32273,0.74949,0.45759,0.51025,0.24219,1.93595,1.28654,1.87411,0.000409216,0.000409216,0.000409216
18,1455.88,1.23108,0.98311,1.31463,0.66833,0.48427,0.53665,0.26264,1.83095,1.24903,1.78434,0.000400042,0.000400042,0.000400042
19,1534.75,1.21919,0.95382,1.3017,0.60606,0.49041,0.53708,0.25304,1.83903,1.25466,1.79504,0.000390868,0.000390868,0.000390868
20,1613.38,1.2099,0.94038,1.29126,0.61172,0.49163,0.5181,0.24859,1.8694,1.26812,1.80923,0.000381694,0.000381694,0.000381694
